walleye
HT7841A00732
walleye-userdebug 8.1.0 OPM1.171019.003 4411134 dev-keys
1.11.nightly_20171024_RC000.dogfood
1.11.Fishfood nightly_20171024_RC000
['timestamp', 'battery_%', 'battery_voltage', 'battery_current', 'tz0', 'tz1', 'tz2', 'tz3', 'tz4', 'tz5', 'tz6', 'tz7', 'tz8', 'tz9', 'tz10', 'tz11', 'tz12', 'tz13', 'tz14', 'tz15', 'tz16', 'tz17', 'tz18', 'tz19', 'tz20', 'tz21', 'tz22', 'tz23', 'tz24', 'tz25', 'tz26', 'tz27', 'tz28', 'tz29', 'tz30', 'tz33', 'tz34', 'tz35', 'tz36', 'cpu0', 'cpu1', 'cpu2', 'cpu3', 'cpu4', 'cpu5', 'cpu6', 'cpu7', 'bus', 'gpu']
('14:19:31', '66', '4036122', '-442870', '27000', '257', '26846', '37000', '37000', '27', '26', '27', '26', '26', '26', '286', '286', '292', '298', '289', '286', '289', '292', '292', '298', '286', '282', '298', '292', '298', '295', '292', '292', '289', '292', '28618', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
('14:19:35', '66', '4036122', '-440917', '27000', '257', '27018', '37000', '37000', '28', '26', '27', '26', '26', '26', '289', '289', '295', '295', '298', '292', '311', '292', '298', '295', '292', '282', '302', '295', '298', '295', '292', '295', '295', '295', '29181', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
('14:19:39', '66', '4032704', '-421386', '27000', '257', '27190', '37000', '37000', '28', '26', '27', '26', '26', '26', '292', '292', '292', '295', '295', '311', '292', '295', '295', '298', '289', '286', '302', '295', '302', '298', '292', '295', '295', '292', '29181', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
('14:19:43', '66', '4036366', '-448730', '27000', '257', '27190', '37000', '37000', '28', '26', '27', '26', '26', '26', '295', '295', '292', '302', '305', '292', '292', '289', '292', '289', '289', '286', '302', '295', '302', '295', '292', '295', '295', '292', '29181', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
('14:19:48', '66', '4035878', '-436523', '27000', '257', '27247', '37000', '37000', '28', '26', '27', '26', '26', '26', '292', '292', '292', '302', '292', '298', '314', '292', '295', '298', '292', '286', '305', '295', '302', '298', '295', '298', '295', '295', '29181', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
('14:19:52', '66', '4034901', '-433105', '27000', '257', '27361', '37000', '37000', '28', '26', '27', '26', '26', '26', '292', '295', '292', '298', '308', '295', '298', '292', '305', '298', '292', '289', '305', '298', '298', '298', '295', '298', '298', '295', '29181', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
('14:19:56', '66', '4032216', '-411132', '27000', '257', '27419', '37000', '37000', '28', '26', '27', '26', '26', '26', '292', '305', '295', '305', '295', '289', '292', '292', '298', '295', '295', '289', '305', '298', '302', '298', '295', '298', '302', '295', '29181', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
('14:20:00', '66', '4036366', '-443847', '27000', '257', '27361', '37000', '37000', '28', '26', '27', '26', '26', '26', '292', '295', '295', '298', '298', '292', '295', '292', '295', '298', '292', '289', '305', '298', '302', '298', '292', '298', '295', '295', '29181', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
('14:20:05', '66', '4037099', '-448730', '27000', '257', '27476', '37000', '37000', '28', '26', '27', '26', '26', '26', '292', '292', '298', '298', '295', '292', '292', '295', '298', '295', '292', '289', '305', '298', '305', '302', '295', '298', '298', '295', '29181', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
('14:20:09', '66', '4037099', '-446288', '27000', '257', '27533', '37000', '37000', '28', '26', '27', '26', '26', '26', '292', '292', '298', '298', '295', '295', '295', '295', '298', '298', '292', '289', '305', '298', '302', '302', '295', '298', '298', '295', '29181', '27000', '0', '0', '1478400', '1478400', '1478400', '1478400', '1344000', '1344000', '1344000', '1344000', '7759', '257000000')
